id,date,channel,customer_type,content,keyword_hint,date_clean,week,is_duplicate_removed,data_quality_flags,voc_type,sub_intent,topic,regulation_context,urgency,customer_impact,classification_reason
014,2026-05-15,채널톡,2차 협력사,같은 제품인데 카본링크 계산 결과와 외부 전문기관 산정값이 20% 차이납니다. 어느 쪽이 맞는 건지 근거를 알고 싶습니다.,"계산로직, 검증",2026-05-15,2026-W20,False,,불만,,검증/인증/감사,검증/인증,Medium,Medium,"불만 표현('차이납니다')이 확인되어 불만으로 분류. urgency는 '검증' 표현에 따라 Medium로 판단 (customer_type=2차 협력사, channel=채널톡 반영)"
015,2026-05-16,이메일,기타,탄소발자국 검증 인증 기관 목록을 알려주실 수 있나요? 내부 감사에서 제3자 검증 요구가 들어왔습니다.,"검증, 인증기관",2026-05-16,2026-W20,False,,일반 문의,,PCF/LCA/탄소발자국,검증/인증,Medium,Low,"불만/기능 요청/칭찬 신호가 없어 기본값인 일반 문의로 분류. urgency는 '내부 감사' 표현에 따라 Medium로 판단 (customer_type=기타, channel=이메일 반영)"
016,5월 17일,채널톡,1차 협력사,CBAM 전환 기간이 끝나고 2026년 1월부터 인증서를 실제로 구매해야 한다는 게 맞나요? 비용이 얼마나 될지 추산 방법이 있나요?,"CBAM, 인증서비용, 전환기간",2026-05-17,2026-W20,False,,일반 문의,,CBAM 신고/인증서,CBAM,Medium,Medium,"정보 확인 표현('맞나요')이 확인되어 일반 문의로 분류. urgency는 '비용' 표현에 따라 Medium로 판단 (customer_type=1차 협력사, channel=채널톡 반영)"
017,2026/05/18,이메일,기타,플랫폼 UI가 직관적으로 바뀐 것 같아요. 저번 달 업데이트 이후로 훨씬 편하게 쓰고 있습니다.,"UI, 사용성",2026-05-18,2026-W21,False,,칭찬,,기타,기타,Low,Low,"긍정 표현('편하게 쓰고')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=이메일 반영)"
018,2026-05-19,이메일,기타,공급업체 탄소 데이터 공유 요청을 일괄 발송하는 기능이 필요합니다. 현재는 협력사마다 개별 링크 전송이 너무 번거롭습니다.,"Scope3, 협력사, 자동화",2026-05-19,2026-W21,False,,기능 요청,,Scope 3/공급망 데이터,Scope3,Low,Low,"요청 표현('필요합니다')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=이메일 반영)"
019,2026-05-20,채널톡,2차 협력사,Scope 1 직접 배출 측정에서 연료 연소 계산이 틀린 것 같습니다. GWP 값 업데이트가 반영 안 된 것 같아요. IPCC 6차 보고서 기준으로 수정해주세요.,"Scope1, GWP, IPCC",2026-05-20,2026-W21,False,,불만,개선요청,계산 로직/데이터 신뢰성,Scope1,Low,Low,"불만 표현('틀린')과 개선 요청 표현('수정해주세요')이 함께 나타나 불만(개선요청)으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=2차 협력사, channel=채널톡 반영)"
020,2026/05/21,이메일,1차 협력사,탄소 감축 로드맵 수립을 지원하는 컨설팅 서비스도 추가해주시면 좋겠습니다. 측정은 됐는데 어떻게 줄여야 할지 막막합니다.,"감축로드맵, 컨설팅",2026-05-21,2026-W21,False,,기능 요청,기능요청,감축 로드맵/컨설팅,기타,Low,Medium,"정보 확인('어떻게')과 요청 표현('추가해주시면')이 함께 나타나 기능 요청(기능요청)으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=1차 협력사, channel=이메일 반영)"
021,2026-05-22,이메일,기타,담당자분이 빠르게 답변해주시고 이슈를 다음 날 바로 해결해주셨습니다. 대응이 매우 인상적이었습니다.,"CS대응, 고객만족",2026-05-22,2026-W21,False,,칭찬,,기타,기타,Low,Low,"긍정 표현('인상적')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=이메일 반영)"
022,5월 23일,채널톡,기타,TCFD 보고와 CSRD 보고를 동시에 할 때 중복 데이터 입력을 줄일 수 있는 기능을 추가해주세요. 두 프레임워크 데이터가 따로 관리되어 비효율적입니다.,"TCFD, CSRD, 이중보고",2026-05-23,2026-W21,False,,기능 요청,,CSRD 보고/공시,CSRD,Low,Low,"요청 표현('추가해주세요')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=채널톡 반영)"
023,2026/05/24,이메일,1차 협력사,CBAM 관련 데이터를 협력사에서 받아야 하는데 협력사들이 협조를 안 합니다. 공문이나 요청 템플릿 양식을 제공해 주실 수 있나요?,"CBAM, 협력사, 공문템플릿",2026-05-24,2026-W21,False,,기능 요청,,CBAM 신고/인증서,CBAM,Low,Medium,"요청 표현('제공해 주')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=1차 협력사, channel=이메일 반영)"
024,2026-05-25,이메일,기타,작년에 비해 탄소 배출 집계 오류가 많이 줄었습니다. 카본링크 덕분에 보고서 품질이 확실히 올라갔어요.,"보고서품질, 정확도",2026-05-25,2026-W22,False,,칭찬,,보고서/대시보드,기타,Low,Low,"긍정 표현('줄었')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=이메일 반영)"
025,2026-05-26,채널톡,OEM,EU 수입업자가 우리 제품의 탄소 내재량 데이터를 요구하는데 어떤 형식으로 제출해야 하나요? 표준 양식이 있나요?,"CBAM, 탄소내재량, EU수입",2026-05-26,2026-W22,False,,일반 문의,,CBAM 신고/인증서,CBAM,Low,Medium,"정보 확인 표현('해야 하나요')이 확인되어 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=OEM, channel=채널톡 반영)"
026,2026/05/27,이메일,기타,카본링크 API 연동이 자꾸 끊깁니다. ERP 시스템과 연결했는데 하루에 두세 번씩 연결이 끊겨서 데이터가 누락됩니다. 빨리 해결해주세요.,"API, ERP, 연동오류",2026-05-27,2026-W22,False,,불만,개선요청,플랫폼 오류/API/권한,기타,High,Medium,"불만 표현('오류')과 개선 요청 표현('해결해주세요')이 함께 나타나 불만(개선요청)으로 분류. urgency는 '오류' 표현에 따라 High로 판단 (customer_type=기타, channel=이메일 반영)"
027,5월 28일,채널톡,1차 협력사,ISO 14064 인증 제출용 데이터 내보내기가 안 됩니다. 인증 기관 요청 양식과 호환이 안 된다고 합니다. 해결해주세요.,"ISO14064, 인증, 데이터내보내기",2026-05-28,2026-W22,False,,불만,개선요청,검증/인증/감사,검증/인증,High,High,"불만 표현('안 됩니다')과 개선 요청 표현('해결해주세요')이 함께 나타나 불만(개선요청)으로 분류. urgency는 '안 됩니다' 표현에 따라 High로 판단 (customer_type=1차 협력사, channel=채널톡 반영)"
028,2026-05-29,이메일,기타,탄소중립 2050 로드맵 작성 지원이 정말 좋았습니다. 실무에서 바로 활용할 수 있는 수준으로 작성해주셨어요.,"탄소중립, 로드맵",2026-05-29,2026-W22,False,,칭찬,,감축 로드맵/컨설팅,기타,Low,Low,"긍정 표현('좋았습니다')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=이메일 반영)"
029,2026/05/30,이메일,OEM,카본링크 대시보드에서 연도별 배출량 추세 비교 차트가 있으면 좋겠습니다. 이사회 보고 시 트렌드를 시각화해서 보여줘야 합니다.,"대시보드, 차트, 이사회보고",2026-05-30,2026-W22,False,,기능 요청,,보고서/대시보드,기타,Low,Medium,"요청 표현('있으면 좋겠')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=OEM, channel=이메일 반영)"
030,2026-05-31,채널톡,기타,CSRD 보고 기준 해석이 감사법인마다 다르게 안내를 해서 혼란스럽습니다. 리뉴어스랩의 공식 입장은 무엇인가요?,"CSRD, 감사법인, 해석기준",2026-05-31,2026-W22,False,,불만,,CSRD 보고/공시,CSRD,Medium,Low,"불만 표현('혼란')이 확인되어 불만으로 분류. urgency는 '감사법인' 표현에 따라 Medium로 판단 (customer_type=기타, channel=채널톡 반영)"
032,2026-06-01,미기재,1차 협력사,올해 CBAM 신고 담당자가 바뀌었는데 플랫폼 내에서 담당자 권한 이전 절차가 어떻게 되나요?,"CBAM, 권한관리",2026-06-01,2026-W23,False,channel_missing,일반 문의,,CBAM 신고/인증서,CBAM,Low,Medium,"정보 확인 표현('절차')이 확인되어 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=1차 협력사, channel=미기재 반영)"
033,2026-06-02,채널톡,기타,Scope 3 계산 결과가 경쟁사 플랫폼과 30% 이상 차이가 납니다. 계산 로직을 공개해주시거나 설명해주세요.,"Scope3, 계산로직",2026-06-02,2026-W23,False,,불만,,Scope 3/공급망 데이터,Scope3,Medium,Low,"불만 표현('차이가 납니다')이 확인되어 불만으로 분류. urgency는 '차이' 표현에 따라 Medium로 판단 (customer_type=기타, channel=채널톡 반영)"
034,2026-06-03,이메일,2차 협력사,공급망 탄소 데이터 수집 자동화가 도입된 이후로 업무 시간이 절반 이상 줄었습니다. 정말 만족스럽습니다.,"자동화, 업무효율",2026-06-03,2026-W23,False,,칭찬,,Scope 3/공급망 데이터,기타,Low,Low,"긍정 표현('줄었')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=2차 협력사, channel=이메일 반영)"
035,2026-06-04,미기재,기타,탄소 크레딧 구매와 실제 Scope 3 감축 효과를 구분해서 리포트에 표시하는 기능이 있으면 좋겠습니다.,"탄소크레딧, Scope3",2026-06-04,2026-W23,False,channel_missing,기능 요청,,Scope 3/공급망 데이터,Scope3,Low,Low,"요청 표현('있으면 좋겠')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=미기재 반영)"
036,2026-06-05,이메일,기타,CBAM 시행으로 인해 공공기관 구매 물품에도 탄소비용이 전가되는 건가요? 조달 정책에 어떻게 영향이 있는지 알고 싶습니다.,"CBAM, 조달, 공공",2026-06-05,2026-W23,False,,일반 문의,,CBAM 신고/인증서,CBAM,Medium,Low,"정보 확인 표현('어떻게')이 확인되어 일반 문의로 분류. urgency는 '비용' 표현에 따라 Medium로 판단 (customer_type=기타, channel=이메일 반영)"
037,2026-06-06,채널톡,1차 협력사,분기별 탄소 보고서 자동 생성 기능을 추가해주세요. 현재는 매분기 수동으로 정리해야 해서 번거롭습니다.,"보고서자동화, 분기",2026-06-06,2026-W23,False,,기능 요청,,보고서/대시보드,기타,Low,Medium,"요청 표현('추가해주세요')이 확인되어 기능 요청으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=1차 협력사, channel=채널톡 반영)"
038,2026/06/07,이메일,기타,카본링크 모바일 앱이 없어서 불편합니다. 출장 중에 데이터 확인이 안 됩니다.,"모바일, UI",2026-06-07,2026-W23,False,,불만,,플랫폼 오류/API/권한,기타,High,Medium,"불만 표현('불편')이 확인되어 불만으로 분류. urgency는 '안 됩니다' 표현에 따라 High로 판단 (customer_type=기타, channel=이메일 반영)"
039,5월 9일,이메일,2차 협력사,지난 분기 대비 탄소배출량이 15% 감소했습니다. 카본링크 분석 리포트 덕분에 어디서 줄일 수 있는지 파악이 됐어요. 감사합니다.,"탄소감축, 분석리포트",2026-05-09,2026-W19,False,,칭찬,,보고서/대시보드,기타,Low,Low,"긍정 표현('감사합니다')이 확인되어 칭찬으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=2차 협력사, channel=이메일 반영)"
040,2026-06-09,이메일,기타,녹색채권(Green Bond) 발행 시 탄소 데이터 검증 요건이 어떻게 되나요? ICMA 원칙과 카본링크 데이터가 연계 가능한가요?,"녹색채권, ICMA, 검증",2026-06-09,2026-W24,False,,일반 문의,,검증/인증/감사,ESG/공시,Medium,Low,"정보 확인 표현('어떻게')이 확인되어 일반 문의로 분류. urgency는 '검증' 표현에 따라 Medium로 판단 (customer_type=기타, channel=이메일 반영)"
041,2026-06-10,채널톡,OEM,CBAM 인증서 단가가 EU ETS 탄소 가격에 연동된다고 하는데 현재 예상 단가를 어떻게 추산하면 되나요?,"CBAM, ETS, 탄소가격",2026-06-10,2026-W24,False,,일반 문의,,CBAM 신고/인증서,CBAM,Medium,Medium,"정보 확인 표현('어떻게')이 확인되어 일반 문의로 분류. urgency는 '인증' 표현에 따라 Medium로 판단 (customer_type=OEM, channel=채널톡 반영)"
042,2026/06/11,이메일,기타,글로벌 고객사에서 SBTi(과학기반감축목표) 기준으로 감축 목표 설정을 요구했습니다. 카본링크에서 SBTi 시나리오 분석이 가능한가요?,"SBTi, 감축목표",2026-06-11,2026-W24,False,,일반 문의,,감축 로드맵/컨설팅,ESG/공시,Low,Low,"정보 확인 표현('기준')이 확인되어 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=이메일 반영)"
043,2026-06-12,이메일,1차 협력사,플랫폼 보고서 커스터마이징 기능이 너무 제한적입니다. 우리 회사 형식에 맞게 보고서를 수정하고 싶은데 고정된 템플릿만 써야 합니다. 기능 개선 요청드립니다.,"보고서, 커스터마이징",2026-06-12,2026-W24,False,,불만,개선요청,보고서/대시보드,기타,Low,Medium,"불만 표현('제한적')과 개선 요청 표현('요청드립니다')이 함께 나타나 불만(개선요청)으로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=1차 협력사, channel=이메일 반영)"
044,2026-06-13,채널톡,기타,탄소배출권 시장에서 외부 감축 크레딧을 구매할 때 국내 크레딧과 해외 크레딧의 인정 범위가 다른가요?,"탄소배출권, 크레딧",2026-06-13,2026-W24,False,,일반 문의,,기타,기타,Low,Low,"불만/기능 요청/칭찬 신호가 없어 기본값인 일반 문의로 분류. urgency는 별다른 긴급 신호가 없어 Low로 판단 (customer_type=기타, channel=채널톡 반영)"
045,2026-06-14,이메일,OEM,CBAM 신고 마감일이 지났는데 연장 신청이 가능한지 EU 세관에 문의하는 방법을 모르겠습니다. 수출 계약이 위험합니다. 긴급 대응이 필요합니다.,"CBAM, 신고마감, 긴급",2026-06-14,2026-W24,False,,불만,,CBAM 신고/인증서,CBAM,High,High,"불만 표현('위험합니다')이 확인되어 불만으로 분류. urgency는 '긴급' 표현에 따라 High로 판단 (customer_type=OEM, channel=이메일 반영)"
