id	date_clean	channel	customer_type	voc_type	topic	urgency	content
027	2026-05-28	채널톡	1차 협력사	불만	검증/인증/감사	High	ISO 14064 인증 제출용 데이터 내보내기가 안 됩니다. 인증 기관 요청 양식과 호환이 안 된다고 합니다. 해결해주세요.
028	2026-05-29	이메일	기타	칭찬	감축 로드맵/컨설팅	Low	탄소중립 2050 로드맵 작성 지원이 정말 좋았습니다. 실무에서 바로 활용할 수 있는 수준으로 작성해주셨어요.
029	2026-05-30	이메일	OEM	기능 요청	보고서/대시보드	Low	카본링크 대시보드에서 연도별 배출량 추세 비교 차트가 있으면 좋겠습니다. 이사회 보고 시 트렌드를 시각화해서 보여줘야 합니다.
030	2026-05-31	채널톡	기타	불만	CSRD 보고/공시	Medium	CSRD 보고 기준 해석이 감사법인마다 다르게 안내를 해서 혼란스럽습니다. 리뉴어스랩의 공식 입장은 무엇인가요?
032	2026-06-01	미기재	1차 협력사	일반 문의	CBAM 신고/인증서	Low	올해 CBAM 신고 담당자가 바뀌었는데 플랫폼 내에서 담당자 권한 이전 절차가 어떻게 되나요?
033	2026-06-02	채널톡	기타	불만	Scope 3/공급망 데이터	Medium	Scope 3 계산 결과가 경쟁사 플랫폼과 30% 이상 차이가 납니다. 계산 로직을 공개해주시거나 설명해주세요.
034	2026-06-03	이메일	2차 협력사	칭찬	Scope 3/공급망 데이터	Low	공급망 탄소 데이터 수집 자동화가 도입된 이후로 업무 시간이 절반 이상 줄었습니다. 정말 만족스럽습니다.
035	2026-06-04	미기재	기타	기능 요청	Scope 3/공급망 데이터	Low	탄소 크레딧 구매와 실제 Scope 3 감축 효과를 구분해서 리포트에 표시하는 기능이 있으면 좋겠습니다.
036	2026-06-05	이메일	기타	일반 문의	CBAM 신고/인증서	Medium	CBAM 시행으로 인해 공공기관 구매 물품에도 탄소비용이 전가되는 건가요? 조달 정책에 어떻게 영향이 있는지 알고 싶습니다.
037	2026-06-06	채널톡	1차 협력사	기능 요청	보고서/대시보드	Low	분기별 탄소 보고서 자동 생성 기능을 추가해주세요. 현재는 매분기 수동으로 정리해야 해서 번거롭습니다.
038	2026-06-07	이메일	기타	불만	플랫폼 오류/API/권한	High	카본링크 모바일 앱이 없어서 불편합니다. 출장 중에 데이터 확인이 안 됩니다.
039	2026-05-09	이메일	2차 협력사	칭찬	보고서/대시보드	Low	지난 분기 대비 탄소배출량이 15% 감소했습니다. 카본링크 분석 리포트 덕분에 어디서 줄일 수 있는지 파악이 됐어요. 감사합니다.
040	2026-06-09	이메일	기타	일반 문의	검증/인증/감사	Medium	녹색채권(Green Bond) 발행 시 탄소 데이터 검증 요건이 어떻게 되나요? ICMA 원칙과 카본링크 데이터가 연계 가능한가요?
041	2026-06-10	채널톡	OEM	일반 문의	CBAM 신고/인증서	Medium	CBAM 인증서 단가가 EU ETS 탄소 가격에 연동된다고 하는데 현재 예상 단가를 어떻게 추산하면 되나요?
042	2026-06-11	이메일	기타	일반 문의	감축 로드맵/컨설팅	Low	글로벌 고객사에서 SBTi(과학기반감축목표) 기준으로 감축 목표 설정을 요구했습니다. 카본링크에서 SBTi 시나리오 분석이 가능한가요?
043	2026-06-12	이메일	1차 협력사	불만	보고서/대시보드	Low	플랫폼 보고서 커스터마이징 기능이 너무 제한적입니다. 우리 회사 형식에 맞게 보고서를 수정하고 싶은데 고정된 템플릿만 써야 합니다. 기능 개선 요청드립니다.
044	2026-06-13	채널톡	기타	일반 문의	기타	Low	탄소배출권 시장에서 외부 감축 크레딧을 구매할 때 국내 크레딧과 해외 크레딧의 인정 범위가 다른가요?
045	2026-06-14	이메일	OEM	불만	CBAM 신고/인증서	High	CBAM 신고 마감일이 지났는데 연장 신청이 가능한지 EU 세관에 문의하는 방법을 모르겠습니다. 수출 계약이 위험합니다. 긴급 대응이 필요합니다.
