id	date_clean	channel	customer_type	voc_type	topic	urgency	content
027	2026-05-28	채널톡	1차 협력사	불만	검증/인증/감사	High	ISO 14064 인증 제출용 데이터 내보내기가 안 됩니다. 인증 기관 요청 양식과 호환이 안 된다고 합니다. 해결해주세요.
028	2026-05-29	이메일	기타	칭찬	감축 로드맵/컨설팅	Low	탄소중립 2050 로드맵 작성 지원이 정말 좋았습니다. 실무에서 바로 활용할 수 있는 수준으로 작성해주셨어요.
029	2026-05-30	이메일	OEM	기능 요청	보고서/대시보드	Low	카본링크 대시보드에서 연도별 배출량 추세 비교 차트가 있으면 좋겠습니다. 이사회 보고 시 트렌드를 시각화해서 보여줘야 합니다.
030	2026-05-31	채널톡	기타	불만	CSRD 보고/공시	Medium	CSRD 보고 기준 해석이 감사법인마다 다르게 안내를 해서 혼란스럽습니다. 리뉴어스랩의 공식 입장은 무엇인가요?
032	2026-06-01	미기재	1차 협력사	일반 문의	CBAM 신고/인증서	Low	올해 CBAM 신고 담당자가 바뀌었는데 플랫폼 내에서 담당자 권한 이전 절차가 어떻게 되나요?
033	2026-06-02	채널톡	기타	불만	Scope 3/공급망 데이터	Medium	Scope 3 계산 결과가 경쟁사 플랫폼과 30% 이상 차이가 납니다. 계산 로직을 공개해주시거나 설명해주세요.
034	2026-06-03	이메일	2차 협력사	칭찬	Scope 3/공급망 데이터	Low	공급망 탄소 데이터 수집 자동화가 도입된 이후로 업무 시간이 절반 이상 줄었습니다. 정말 만족스럽습니다.
035	2026-06-04	미기재	기타	기능 요청	Scope 3/공급망 데이터	Low	탄소 크레딧 구매와 실제 Scope 3 감축 효과를 구분해서 리포트에 표시하는 기능이 있으면 좋겠습니다.
036	2026-06-05	이메일	기타	일반 문의	CBAM 신고/인증서	Medium	CBAM 시행으로 인해 공공기관 구매 물품에도 탄소비용이 전가되는 건가요? 조달 정책에 어떻게 영향이 있는지 알고 싶습니다.
037	2026-06-06	채널톡	1차 협력사	기능 요청	보고서/대시보드	Low	분기별 탄소 보고서 자동 생성 기능을 추가해주세요. 현재는 매분기 수동으로 정리해야 해서 번거롭습니다.
038	2026-06-07	이메일	기타	불만	플랫폼 오류/API/권한	High	카본링크 모바일 앱이 없어서 불편합니다. 출장 중에 데이터 확인이 안 됩니다.
039	2026-05-09	이메일	2차 협력사	칭찬	보고서/대시보드	Low	지난 분기 대비 탄소배출량이 15% 감소했습니다. 카본링크 분석 리포트 덕분에 어디서 줄일 수 있는지 파악이 됐어요. 감사합니다.
040	2026-06-09	이메일	기타	일반 문의	검증/인증/감사	Medium	녹색채권(Green Bond) 발행 시 탄소 데이터 검증 요건이 어떻게 되나요? ICMA 원칙과 카본링크 데이터가 연계 가능한가요?
041	2026-06-10	채널톡	OEM	일반 문의	CBAM 신고/인증서	Medium	CBAM 인증서 단가가 EU ETS 탄소 가격에 연동된다고 하는데 현재 예상 단가를 어떻게 추산하면 되나요?
042	2026-06-11	이메일	기타	일반 문의	감축 로드맵/컨설팅	Low	글로벌 고객사에서 SBTi(과학기반감축목표) 기준으로 감축 목표 설정을 요구했습니다. 카본링크에서 SBTi 시나리오 분석이 가능한가요?
043	2026-06-12	이메일	1차 협력사	불만	보고서/대시보드	Low	플랫폼 보고서 커스터마이징 기능이 너무 제한적입니다. 우리 회사 형식에 맞게 보고서를 수정하고 싶은데 고정된 템플릿만 써야 합니다. 기능 개선 요청드립니다.
044	2026-06-13	채널톡	기타	일반 문의	기타	Low	탄소배출권 시장에서 외부 감축 크레딧을 구매할 때 국내 크레딧과 해외 크레딧의 인정 범위가 다른가요?
045	2026-06-14	이메일	OEM	불만	CBAM 신고/인증서	High	CBAM 신고 마감일이 지났는데 연장 신청이 가능한지 EU 세관에 문의하는 방법을 모르겠습니다. 수출 계약이 위험합니다. 긴급 대응이 필요합니다.
046	2026-09-23	채널톡	OEM	일반 문의	CSRD 보고/공시	Medium	이번 달 초 제3자 검증(Limited Assurance)은 어느 기관에 맡겨야 하는지 방법을 알고 싶습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
047	2026-08-10	채널톡	1차 협력사	일반 문의	플랫폼 오류/API/권한	Low	오늘 오전 ERP 연동 설정을 변경하려면 어떤 절차를 거쳐야 하나요? 담당팀 회신을 기다리고 있습니다.
048	2026-07-05	미팅메모	OEM	기능 요청	계산 로직/데이터 신뢰성	Low	오늘 아침 계산 근거(적용 계수, 산정 공식)를 화면에서 바로 확인할 수 있는 기능을 추가해주세요. 관련 담당자와 공유했습니다.
049	2026-09-05	채널톡	2차 협력사	일반 문의	계산 로직/데이터 신뢰성	Low	지난달 배출량 계산에 적용되는 배출계수 기준이 어떤 버전인지 확인하고 싶습니다.
050	2026-08-20	미팅메모	1차 협력사	일반 문의	CBAM 신고/인증서	Medium	어제 CBAM 인증서 구매는 매년 언제까지 완료해야 하나요? 처음 신고라 절차가 헷갈립니다. 이번 주 안에 확인 가능한지 궁금합니다.
051	2026-08-19	이메일	2차 협력사	일반 문의	CSRD 보고/공시	Medium	방금 전 CSRD 공시 항목 중 ESRS 기준으로 어떤 지표까지 포함해야 하는지 기준을 확인하고 싶습니다. 내부 회의에서도 논의된 사항입니다.
052	2026-08-11	미팅메모	기타	기능 요청	CBAM 신고/인증서	Medium	지난주 CBAM 신고 기한 D-7일 전부터 알려주는 알림 기능을 지원해주시면 좋겠습니다. 담당팀 회신을 기다리고 있습니다.
053	2026-08-01	이메일	기타	기능 요청	계산 로직/데이터 신뢰성	Low	이번 시즌 계산 근거(적용 계수, 산정 공식)를 화면에서 바로 확인할 수 있는 기능을 추가해주세요. 참고로 예전에도 비슷한 상황이 있었습니다.
054	2026-06-27	미팅메모	2차 협력사	일반 문의	보고서/대시보드	Low	지난주 분기별 보고서를 PDF 외 다른 형식으로도 받을 수 있는지 궁금합니다. 관련 담당자와 공유했습니다.
055	2026-07-21	미팅메모	2차 협력사	일반 문의	계산 로직/데이터 신뢰성	Low	최근 배출량 계산에 적용되는 배출계수 기준이 어떤 버전인지 확인하고 싶습니다. 내부 회의에서도 논의된 사항입니다.
056	2026-08-14	채널톡	1차 협력사	일반 문의	계산 로직/데이터 신뢰성	Low	지난주 계산 결과가 소수점 단위로 자주 바뀌는데 반영 주기가 어떻게 되는지 궁금합니다. 이번 주 안에 확인 가능한지 궁금합니다.
057	2026-09-29	이메일	기타	기능 요청	PCF/LCA/탄소발자국	Low	오늘 오전 제품별 탄소발자국 변화 추이를 비교하는 차트 기능이 필요합니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
058	2026-09-22	이메일	2차 협력사	기능 요청	PCF/LCA/탄소발자국	Low	최근 며칠간 PCF 산정 시 여러 LCA 데이터베이스를 비교해서 보여주는 기능을 지원해주시면 좋겠습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
059	2026-09-24	채널톡	1차 협력사	기능 요청	계산 로직/데이터 신뢰성	Low	이번 주 외부 산정값과 자체 계산값을 나란히 비교해주는 기능이 있으면 좋겠습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
060	2026-08-22	이메일	2차 협력사	칭찬	기타	Low	오늘 아침 온보딩 담당자분이 친절하게 안내해주셔서 초기 세팅이 순조로웠습니다. 감사합니다. 관련 담당자와 공유했습니다.
061	2026-08-08	이메일	2차 협력사	불만	CSRD 보고/공시	High	이중 중요성 평가 결과가 저장 중 누락되는 오류가 반복되고 있습니다. 관련 담당자와 공유했습니다.
062	2026-09-08	이메일	기타	일반 문의	PCF/LCA/탄소발자국	Low	제품군이 72개인데 PCF를 하나씩 산정해야 하는지, 유사 제품은 묶어도 되는지 알고 싶습니다.
063	2026-08-18	미팅메모	2차 협력사	일반 문의	CSRD 보고/공시	Medium	이번 주 CSRD 공시 항목 중 ESRS 기준으로 어떤 지표까지 포함해야 하는지 기준을 확인하고 싶습니다. 다음 보고 전까지 확인하려고 합니다.
064	2026-06-20	채널톡	기타	기능 요청	CBAM 신고/인증서	Medium	이번 달 초 CBAM 신고 기한 D-14일 전부터 알려주는 알림 기능을 지원해주시면 좋겠습니다. 내부 회의에서도 논의된 사항입니다.
065	2026-09-23	이메일	1차 협력사	칭찬	계산 로직/데이터 신뢰성	Medium	최근 차이 발생 건에 대한 원인 설명을 빠르게 받아서 도움이 많이 되었습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
066	2026-08-28	채널톡	2차 협력사	기능 요청	CBAM 신고/인증서	Medium	지난달 CBAM 신고 기한 D-30일 전부터 알려주는 알림 기능을 지원해주시면 좋겠습니다. 관련 담당자와 공유했습니다.
067	2026-09-27	채널톡	OEM	일반 문의	계산 로직/데이터 신뢰성	Low	어제 배출량 계산에 적용되는 배출계수 기준이 어떤 버전인지 확인하고 싶습니다. 내부 회의에서도 논의된 사항입니다.
068	2026-08-15	채널톡	OEM	기능 요청	기타	Low	최근 신규 담당자를 위한 온보딩 가이드를 플랫폼 내에서 바로 볼 수 있게 지원해주시면 좋겠습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
069	2026-08-12	이메일	1차 협력사	기능 요청	CBAM 신고/인증서	Medium	방금 전 CBAM 신고 기한 D-30일 전부터 알려주는 알림 기능을 지원해주시면 좋겠습니다. 이번 주 안에 확인 가능한지 궁금합니다.
070	2026-07-25	미팅메모	2차 협력사	기능 요청	계산 로직/데이터 신뢰성	Low	오늘 오전 계산 근거(적용 계수, 산정 공식)를 화면에서 바로 확인할 수 있는 기능을 추가해주세요. 이번 주 안에 확인 가능한지 궁금합니다.
071	2026-07-17	이메일	2차 협력사	일반 문의	보고서/대시보드	Low	이번 시즌 대시보드에서 보여주는 배출량 데이터는 몇 시간 주기로 갱신되나요? 관련 담당자와 공유했습니다.
072	2026-06-21	미팅메모	2차 협력사	불만	Scope 3/공급망 데이터	Low	최근 협력사 70곳의 Scope 3 데이터를 일일이 손으로 입력해야 해서 너무 불편합니다. 관련 담당자와 공유했습니다.
073	2026-08-05	채널톡	기타	일반 문의	CBAM 신고/인증서	Medium	오늘 오전 협력사 204곳의 CBAM 데이터를 모아서 제출해야 하는데 순서가 어떻게 되는지 궁금합니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
074	2026-08-17	채널톡	2차 협력사	불만	플랫폼 오류/API/권한	High	최근 며칠간 ERP와 연동한 이후로 권한 오류 메시지가 반복적으로 발생합니다. 참고로 예전에도 비슷한 상황이 있었습니다.
075	2026-06-25	채널톡	1차 협력사	불만	CBAM 신고/인증서	Medium	오늘 오전 인증서 구매 절차가 너무 복잡해서 담당자가 매번 혼란스러워합니다. 관련 담당자와 공유했습니다.
076	2026-08-23	이메일	1차 협력사	일반 문의	Scope 3/공급망 데이터	Low	이번 시즌 협력사 133곳의 응답률이 낮은데, 독촉 외에 다른 방법이 있는지 궁금합니다. 담당팀 회신을 기다리고 있습니다.
077	2026-08-11	채널톡	2차 협력사	일반 문의	플랫폼 오류/API/권한	Low	최근 며칠간 ERP 연동 설정을 변경하려면 어떤 절차를 거쳐야 하나요? 담당팀 회신을 기다리고 있습니다.
078	2026-06-20	채널톡	기타	기능 요청	PCF/LCA/탄소발자국	Low	이번 주 PCF 산정 시 여러 LCA 데이터베이스를 비교해서 보여주는 기능을 지원해주시면 좋겠습니다.
079	2026-09-04	미기재	기타	칭찬	보고서/대시보드	Low	오늘 오전 보고서 커스터마이징 기능이 정말 좋았습니다. 다만 차트 색상도 회사 톤에 맞게 바꿀 수 있으면 좋겠습니다. 관련 담당자와 공유했습니다.
080	2026-07-31	채널톡	OEM	불만	PCF/LCA/탄소발자국	Medium	지난달 동일 제품인데 PCF 산정값이 지난 산정 대비 15% 차이가 납니다. 원인을 알 수가 없습니다. 이번 주 안에 확인 가능한지 궁금합니다.
081	2026-08-31	채널톡	2차 협력사	불만	CBAM 신고/인증서	High	어제 CBAM 제출 양식이 자꾸 반려됩니다. 양식 오류를 사전에 검증해주는 기능을 추가해주세요.
082	2026-09-05	이메일	2차 협력사	불만	CSRD 보고/공시	High	이번 달 초 이중 중요성 평가 결과가 저장 중 누락되는 오류가 반복되고 있습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
083	2026-09-09	채널톡	2차 협력사	기능 요청	보고서/대시보드	Low	이번 주 대시보드에서 연도별 배출량 추이를 비교하는 차트가 있으면 좋겠습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
084	2026-07-02	채널톡	2차 협력사	기능 요청	CBAM 신고/인증서	Medium	지난주 CBAM 인증서 구매 비용을 자동으로 추산해주는 계산기 기능이 있으면 좋겠습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
085	2026-06-29	이메일	1차 협력사	불만	Scope 3/공급망 데이터	Low	오늘 오전 협력사 208곳의 Scope 3 데이터를 일일이 손으로 입력해야 해서 너무 불편합니다. 담당팀 회신을 기다리고 있습니다.
086	2026-06-30	이메일	1차 협력사	칭찬	기타	Low	지난주 친환경 경영 로드맵 작성 지원이 실무에 바로 활용할 수 있는 수준이었습니다. 정말 만족스럽습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
087	2026-07-21	채널톡	기타	칭찬	기타	Low	지난달 친환경 경영 로드맵 작성 지원이 실무에 바로 활용할 수 있는 수준이었습니다. 정말 만족스럽습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
088	2026-06-24	채널톡	기타	불만	보고서/대시보드	High	최근 며칠간 대시보드 데이터를 다운로드하려고 하면 절반 정도의 확률로 오류가 발생합니다. 관련 담당자와 공유했습니다.
089	2026-09-10	미기재	기타	기능 요청	계산 로직/데이터 신뢰성	Low	오늘 아침 외부 산정값과 자체 계산값을 나란히 비교해주는 기능이 있으면 좋겠습니다. 이번 주 안에 확인 가능한지 궁금합니다.
090	2026-08-24	채널톡	기타	불만	CSRD 보고/공시	Medium	지난달 CSRD 공시 기준 해석이 매번 달라서 혼란스럽습니다. 공식 가이드가 필요합니다. 다음 보고 전까지 확인하려고 합니다.
091	2026-09-12	채널톡	OEM	기능 요청	PCF/LCA/탄소발자국	Low	이번 달 초 PCF 산정 시 여러 LCA 데이터베이스를 비교해서 보여주는 기능을 지원해주시면 좋겠습니다. 담당팀 회신을 기다리고 있습니다.
092	2026-07-10	미팅메모	1차 협력사	불만	CBAM 신고/인증서	Medium	인증서 구매 절차가 너무 복잡해서 담당자가 매번 혼란스러워합니다. 다음 보고 전까지 확인하려고 합니다.
093	2026-08-27	이메일	OEM	불만	CBAM 신고/인증서	High	지난달 카본링크에서 제출한 CBAM 보고서가 EU 세관에서 또 반려됐습니다. 양식이 계속 틀린 것 같습니다. 다음 보고 전까지 확인하려고 합니다.
094	2026-06-26	이메일	2차 협력사	일반 문의	계산 로직/데이터 신뢰성	Low	오늘 아침 배출량 계산에 적용되는 배출계수 기준이 어떤 버전인지 확인하고 싶습니다. 담당팀 회신을 기다리고 있습니다.
095	2026-08-06	미팅메모	OEM	불만	CSRD 보고/공시	High	방금 전 이중 중요성 평가 결과가 저장 중 누락되는 오류가 반복되고 있습니다. 다음 보고 전까지 확인하려고 합니다.
096	2026-09-05	이메일	2차 협력사	불만	CBAM 신고/인증서	High	오늘 아침 CBAM 제출 양식이 자꾸 반려됩니다. 양식 오류를 사전에 검증해주는 기능을 추가해주세요. 이번 주 안에 확인 가능한지 궁금합니다.
097	2026-09-29	미팅메모	2차 협력사	칭찬	계산 로직/데이터 신뢰성	Medium	최근 계산 근거를 투명하게 공개해주셔서 내부 감사 대응이 한결 수월해졌습니다. 감사합니다.
098	2026-08-09	채널톡	기타	불만	CSRD 보고/공시	Medium	방금 전 CSRD 공시 기준 해석이 매번 달라서 혼란스럽습니다. 공식 가이드가 필요합니다. 다음 보고 전까지 확인하려고 합니다.
099	2026-07-23	이메일	2차 협력사	일반 문의	CBAM 신고/인증서	Medium	이번 주 CBAM 인증서 구매는 매년 언제까지 완료해야 하나요? 처음 신고라 절차가 헷갈립니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
100	2026-08-20	미팅메모	OEM	기능 요청	보고서/대시보드	Low	이번 달 초 대시보드에서 연도별 배출량 추이를 비교하는 차트가 있으면 좋겠습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
101	2026-08-24	이메일	2차 협력사	기능 요청	보고서/대시보드	Low	오늘 오전 보고서를 정해진 주기로 자동 생성해서 담당자 메일로 보내주는 기능이 필요합니다. 참고로 예전에도 비슷한 상황이 있었습니다.
102	2026-09-05	이메일	기타	불만	기타	Low	방금 전 온보딩 자료가 부족해서 신규 담당자가 적응하는 데 너무 불편합니다. 다음 보고 전까지 확인하려고 합니다.
103	2026-09-15	미팅메모	2차 협력사	일반 문의	기타	Low	지난주 친환경 경영 로드맵 수립 시 참고할 만한 공개 가이드가 있는지 궁금합니다. 이번 주 안에 확인 가능한지 궁금합니다.
104	2026-06-18	이메일	기타	기능 요청	계산 로직/데이터 신뢰성	Low	최근 며칠간 외부 산정값과 자체 계산값을 나란히 비교해주는 기능이 있으면 좋겠습니다. 관련 담당자와 공유했습니다.
105	2026-07-11	미팅메모	2차 협력사	불만	계산 로직/데이터 신뢰성	High	오늘 아침 배출계수 업데이트가 반영이 안 됩니다. 계산 결과를 신뢰하기 어렵습니다. 이번 주 안에 확인 가능한지 궁금합니다.
106	2026-09-03	채널톡	2차 협력사	기능 요청	계산 로직/데이터 신뢰성	Low	이번 달 초 외부 산정값과 자체 계산값을 나란히 비교해주는 기능이 있으면 좋겠습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
107	2026-09-26	채널톡	1차 협력사	칭찬	CSRD 보고/공시	Medium	이번 주 제3자 검증 대응 자료를 미리 준비해주셔서 감사 일정에 맞춰 무사히 마쳤습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
108	2026-08-10	채널톡	2차 협력사	기능 요청	플랫폼 오류/API/권한	Low	이번 주 ERP 연동 상태를 실시간으로 확인할 수 있는 모니터링 화면을 지원해주시면 좋겠습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
109	2026-09-14	이메일	기타	기능 요청	Scope 3/공급망 데이터	Low	이번 주 협력사 데이터 요청 템플릿을 제공해주실 수 있나요? 협력사들이 서식이 없어 협조를 어려워합니다. 관련 담당자와 공유했습니다.
110	2026-09-20	이메일	2차 협력사	칭찬	PCF/LCA/탄소발자국	Low	지난달 PCF 산정 리포트 덕분에 고객사 요청에 빠르게 대응할 수 있었습니다. 감사합니다. 이번 주 안에 확인 가능한지 궁금합니다.
111	2026-07-19	채널톡	1차 협력사	칭찬	PCF/LCA/탄소발자국	Low	최근 LCA 데이터베이스 추천 덕분에 산정 시간이 크게 줄었습니다. 감사합니다.
112	2026-09-01	채널톡	기타	기능 요청	플랫폼 오류/API/권한	Low	어제 ERP 연동 상태를 실시간으로 확인할 수 있는 모니터링 화면을 지원해주시면 좋겠습니다. 관련 담당자와 공유했습니다.
113	2026-08-27	채널톡	1차 협력사	기능 요청	보고서/대시보드	Low	이번 주 보고서 템플릿을 회사 양식에 맞게 커스터마이징하는 기능을 추가해주세요. 담당팀 회신을 기다리고 있습니다.
114	2026-08-13	채널톡	2차 협력사	기능 요청	Scope 3/공급망 데이터	Low	최근 며칠간 Scope 3 데이터 입력 양식을 협력사가 스스로 채울 수 있는 셀프서비스 화면을 추가해주세요. 내부 회의에서도 논의된 사항입니다.
115	2026-08-18	채널톡	1차 협력사	불만	플랫폼 오류/API/권한	High	지난주 ERP와 연동한 이후로 권한 오류 메시지가 반복적으로 발생합니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
116	2026-07-21	채널톡	기타	불만	CSRD 보고/공시	High	이번 시즌 이중 중요성 평가 결과가 저장 중 누락되는 오류가 반복되고 있습니다. 이번 주 안에 확인 가능한지 궁금합니다.
117	2026-08-22	이메일	1차 협력사	기능 요청	보고서/대시보드	Low	오늘 오전 보고서 템플릿을 회사 양식에 맞게 커스터마이징하는 기능을 추가해주세요. 관련 담당자와 공유했습니다.
118	2026-07-31	미팅메모	2차 협력사	칭찬	Scope 3/공급망 데이터	Low	지난달 협력사 데이터 수집이 자동화된 이후로 담당자 업무 시간이 절반 가까이 줄었습니다. 만족스럽습니다. 다음 보고 전까지 확인하려고 합니다.
119	2026-07-09	이메일	1차 협력사	일반 문의	계산 로직/데이터 신뢰성	Low	이번 주 계산 결과가 소수점 단위로 자주 바뀌는데 반영 주기가 어떻게 되는지 궁금합니다.
120	2026-08-24	이메일	기타	일반 문의	PCF/LCA/탄소발자국	Low	오늘 오전 제품군이 192개인데 PCF를 하나씩 산정해야 하는지, 유사 제품은 묶어도 되는지 알고 싶습니다. 내부 회의에서도 논의된 사항입니다.
121	2026-06-27	이메일	OEM	불만	기타	Low	가이드 문서가 오래된 내용이라 최신 절차와 맞지 않아 혼란스럽습니다. 같은 팀 동료들도 함께 궁금해하고 있습니다.
122	2026-09-19	이메일	2차 협력사	기능 요청	Scope 3/공급망 데이터	Low	이번 시즌 협력사 133곳에 데이터 요청을 일괄로 발송하고 응답률을 추적하는 기능이 필요합니다. 관련 담당자와 공유했습니다.
123	2026-06-19	이메일	2차 협력사	기능 요청	플랫폼 오류/API/권한	Low	방금 전 ERP 연동 상태를 실시간으로 확인할 수 있는 모니터링 화면을 지원해주시면 좋겠습니다. 다음 보고 전까지 확인하려고 합니다.
124	2026-08-31	미팅메모	1차 협력사	불만	기타	Low	오늘 아침 온보딩 자료가 부족해서 신규 담당자가 적응하는 데 너무 불편합니다. 내부 회의에서도 논의된 사항입니다.
125	2026-08-04	미기재	OEM	기능 요청	CSRD 보고/공시	Medium	지난달 ESRS 이중 중요성 평가 템플릿을 플랫폼 내에서 제공해주시면 좋겠습니다.
126	2026-09-29	채널톡	2차 협력사	기능 요청	PCF/LCA/탄소발자국	Low	이번 주 PCF 산정 시 여러 LCA 데이터베이스를 비교해서 보여주는 기능을 지원해주시면 좋겠습니다. 내부 회의에서도 논의된 사항입니다.
127	2026-06-17	이메일	2차 협력사	일반 문의	보고서/대시보드	Low	분기별 보고서를 PDF 외 다른 형식으로도 받을 수 있는지 궁금합니다. 참고로 예전에도 비슷한 상황이 있었습니다.
128	2026-09-24	미팅메모	기타	불만	CSRD 보고/공시	High	지난달 이중 중요성 평가 결과가 저장 중 누락되는 오류가 반복되고 있습니다. 참고로 예전에도 비슷한 상황이 있었습니다.
